Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Average Accuracy,Average Train Time,Average Test Time
ECG5000,0.942666667,0.946888889,0.945333333,0.948444444,0.945555556,0.947555556,0.944444444,0.942222222,0.947555556,0.944888889,0.947111111,0.942444444,0.951111111,0.944222222,0.946222222,0.944888889,0.946444444,0.942,0.943777778,0.949555556,0.951333333,0.946444444,0.942444444,0.946888889,0.945555556,0.947333333,0.943555556,0.944444444,0.950666667,0.945555556,0.945918519,2.891309706,8.460285465
ECGFiveDays,0.99883856,0.99883856,0.99883856,0.99883856,0.991869919,0.995354239,0.962833914,0.979094077,0.99883856,0.990708479,0.99883856,0.996515679,0.99883856,0.979094077,0.994192799,0.996515679,0.926829268,0.987224158,0.982578397,0.996515679,0.994192799,0.994192799,0.991869919,1,0.99883856,0.99767712,0.99767712,0.995354239,0.974448316,0.979094077,0.989818041,0.902783426,1.739180724
EOGHorizontalSignal,0.657458564,0.850828729,0.850828729,0.845303867,0.872928177,0.845303867,0.839779006,0.825966851,0.856353591,0.886740331,0.837016575,0.867403315,0.889502762,0.856353591,0.864640884,0.872928177,0.848066298,0.856353591,0.859116022,0.88121547,0.831491713,0.859116022,0.861878453,0.85359116,0.864640884,0.859116022,0.82320442,0.900552486,0.828729282,0.82320442,0.848987109,18.78586826,7.236115821
EOGVerticalSignal,0.580110497,0.814917127,0.82320442,0.803867403,0.837016575,0.82320442,0.801104972,0.82320442,0.820441989,0.787292818,0.798342541,0.831491713,0.814917127,0.837016575,0.809392265,0.814917127,0.814917127,0.820441989,0.85359116,0.803867403,0.798342541,0.834254144,0.820441989,0.814917127,0.834254144,0.814917127,0.82320442,0.831491713,0.803867403,0.79558011,0.809484346,20.94493438,7.967520293
Earthquakes,0.726618705,0.741007194,0.726618705,0.769784173,0.755395683,0.755395683,0.73381295,0.73381295,0.748201439,0.726618705,0.755395683,0.741007194,0.741007194,0.748201439,0.748201439,0.769784173,0.755395683,0.73381295,0.755395683,0.748201439,0.726618705,0.748201439,0.71942446,0.73381295,0.755395683,0.741007194,0.755395683,0.755395683,0.748201439,0.726618705,0.7441247,7.593356872,1.120805566
ElectricDeviceDetection,0.865711253,0.897823779,0.902866242,0.890923567,0.88641189,0.893577495,0.905785563,0.897027601,0.902070064,0.896496815,0.895700637,0.890127389,0.892781316,0.899150743,0.890923567,0.896496815,0.888269639,0.897558386,0.886677282,0.899681529,0.902866242,0.89888535,0.9007431,0.899150743,0.886677282,0.892781316,0.902600849,0.892781316,0.886146497,0.892781316,0.894382519,8.497990974,11.09368
ElectricDevices,0.750486318,0.898327065,0.895344313,0.899494229,0.897159901,0.895603683,0.897808326,0.895603683,0.89365841,0.896381792,0.904162884,0.901698872,0.900402023,0.899364544,0.897808326,0.899623914,0.90325509,0.900531708,0.896641162,0.900402023,0.899883284,0.897678641,0.896770847,0.900012968,0.896511477,0.901828557,0.897159901,0.900791078,0.904681624,0.897030217,0.893870229,483.0223788,10.78531214
EthanolLevel,0.676,0.822,0.842,0.802,0.856,0.832,0.806,0.816,0.798,0.824,0.806,0.824,0.8,0.8,0.824,0.81,0.824,0.832,0.826,0.81,0.846,0.794,0.806,0.852,0.812,0.834,0.816,0.804,0.822,0.824,0.814666667,25.21083719,12.0228566
FaceAll,0.834911243,0.987573964,0.989940828,0.986390533,0.986390533,0.982840237,0.985207101,0.979289941,0.98816568,0.98816568,0.983431953,0.988757396,0.987573964,0.986390533,0.985207101,0.980473373,0.984023669,0.986982249,0.987573964,0.98816568,0.986982249,0.985207101,0.982840237,0.982248521,0.986982249,0.986390533,0.98816568,0.986982249,0.985798817,0.979881657,0.980631164,10.53116999,3.576877554
FaceFour,0.977272727,0.988636364,0.75,0.852272727,0.931818182,0.886363636,0.875,0.954545455,0.886363636,0.886363636,0.965909091,0.954545455,0.943181818,0.931818182,0.954545455,0.965909091,0.886363636,0.897727273,0.863636364,0.954545455,0.863636364,0.886363636,0.909090909,0.920454545,0.954545455,0.931818182,0.977272727,0.886363636,0.977272727,0.852272727,0.915530303,1.036053737,0.548389316
FacesUCR,0.950731707,0.952195122,0.955121951,0.965853659,0.954146341,0.963902439,0.963414634,0.954634146,0.970243902,0.949756098,0.962926829,0.953658537,0.949756098,0.956097561,0.957073171,0.955609756,0.962926829,0.93902439,0.974634146,0.970243902,0.965365854,0.950243902,0.953658537,0.963414634,0.964390244,0.942439024,0.95902439,0.964878049,0.957073171,0.942439024,0.957495935,1.795212348,3.570028083
FiftyWords,0.784615385,0.76043956,0.782417582,0.767032967,0.791208791,0.762637363,0.762637363,0.782417582,0.773626374,0.795604396,0.758241758,0.797802198,0.769230769,0.773626374,0.782417582,0.762637363,0.764835165,0.784615385,0.782417582,0.793406593,0.782417582,0.769230769,0.749450549,0.8,0.762637363,0.786813187,0.78021978,0.793406593,0.762637363,0.764835165,0.776117216,10.00130952,2.635469206
Fish,0.977142857,0.977142857,0.988571429,0.982857143,0.965714286,0.96,0.965714286,0.942857143,0.96,0.982857143,0.942857143,0.96,0.948571429,0.965714286,0.971428571,0.977142857,0.948571429,0.954285714,0.971428571,0.965714286,0.965714286,0.965714286,0.971428571,0.982857143,0.965714286,0.977142857,0.994285714,0.977142857,0.971428571,0.971428571,0.968380952,4.552133918,1.210430884
FloodModeling1_disc,0.965346535,0.975247525,0.975247525,0.98019802,0.98019802,0.965346535,0.97029703,0.97029703,0.985148515,0.955445545,0.955445545,0.945544554,0.955445545,0.97029703,0.95049505,0.96039604,0.96039604,0.945544554,0.96039604,0.955445545,0.940594059,0.95049505,0.965346535,0.955445545,0.935643564,0.95049505,0.96039604,0.965346535,0.975247525,0.965346535,0.961551155,6.81376853,0.686668404
